Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0034333,2023-03-12,2023-03-12,,Uma,https://www.imdb.com/title/tt0034333/,movie,6.1,129,1941,Drama,232,1941-03-11,Kajirô Yamamoto
2,tt0036400,2023-03-12,2023-03-12,"Vigorously told, excellent drama about the martial arts.",Sugata Sanshirô,https://www.imdb.com/title/tt0036400/,movie,6.7,79,1943,"Action, Adventure, Drama",5392,1943-03-25,Akira Kurosawa
3,tt0036947,2023-03-12,2023-03-12,,Ichiban utsukushiku,https://www.imdb.com/title/tt0036947/,movie,5.7,85,1944,Drama,2274,1944-04-13,Akira Kurosawa
4,tt0038268,2023-03-12,2023-03-12,,Zoku Sugata Sanshirô,https://www.imdb.com/title/tt0038268/,movie,6.0,83,1945,"Action, Adventure, Drama",2566,1945-05-03,Akira Kurosawa
5,tt0038182,2023-03-12,2023-03-12,"Akira Kurosawa's slimmest feature, running only an hour, is also one of the best of his early period.",Tora no o wo fumu otokotachi,https://www.imdb.com/title/tt0038182/,movie,6.7,59,1945,"Adventure, Drama, Thriller",4205,1945-12-31,Akira Kurosawa
6,tt0038310,2023-03-12,2023-03-12,,Asu o tsukuru hitobito,https://www.imdb.com/title/tt0038310/,movie,6.5,82,1946,Drama,198,1946-05-02,"Akira Kurosawa, Kajirô Yamamoto, Hideo Sekigawa"
7,tt0039090,2023-03-12,2023-03-12,,Waga seishun ni kuinashi,https://www.imdb.com/title/tt0039090/,movie,7.1,110,1946,Drama,3795,1946-10-29,Akira Kurosawa
8,tt0039871,2023-03-12,2023-03-12,It's a 'little people' comedy in the Frank Capra vein,Subarashiki nichiyôbi,https://www.imdb.com/title/tt0039871/,movie,7.2,108,1947,"Drama, Romance",3505,1947-07-01,Akira Kurosawa
9,tt0040979,2023-03-12,2023-03-12,Akira Kurosawa's first critical success (1948) is an odd blend of American film noir and Italian neorealism.,Yoidore tenshi,https://www.imdb.com/title/tt0040979/,movie,7.6,98,1948,"Crime, Drama, Romance, Thriller",12868,1948-04-27,Akira Kurosawa
10,tt0041870,2023-03-12,2023-03-12,Despite moments of melodrama ... contains a great deal to savor,Shizukanaru kettô,https://www.imdb.com/title/tt0041870/,movie,7.4,95,1949,Drama,3709,1949-03-13,Akira Kurosawa
11,tt0041699,2023-03-12,2023-03-12,"Over the years, this competent but routine if visually effective detective flick has frequently been styled an early gem.",Nora inu,https://www.imdb.com/title/tt0041699/,movie,7.8,122,1949,"Crime, Drama, Film-Noir, Mystery, Thriller",18273,1949-10-17,Akira Kurosawa
12,tt0042958,2023-03-12,2023-03-12,"Scandal is not a great film, but it is much more than a curiosity, and much funnier than any plot synopsis might suggest.",Shûbun,https://www.imdb.com/title/tt0042958/,movie,7.2,104,1950,Drama,4476,1950-04-26,Akira Kurosawa
13,tt0042876,2023-03-12,2023-03-12,"One of legendary director Akira Kurosawa's most acclaimed films, Rashomon features an innovative narrative structure, brilliant acting, and a thoughtful exploration of reality versus perception.",Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.2,88,1950,"Crime, Drama, Mystery",175041,1950-08-26,Akira Kurosawa
14,tt0043614,2023-03-12,2023-03-12,Difficult but rewarding drama with outstanding events and location photography of Hokkaido.,Hakuchi,https://www.imdb.com/title/tt0043614/,movie,7.2,166,1951,"Drama, Romance",5457,1951-05-23,Akira Kurosawa
15,tt0044741,2023-03-12,2023-03-12,"Ikiru is a well-acted and deeply moving humanist tale about a man facing his own mortality, one of legendary director Akira Kurosawa's most intimate films.",Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,83611,1952-10-09,Akira Kurosawa
16,tt0047478,2023-03-12,2023-03-12,"Arguably Akira Kurosawa's masterpiece, The Seven Samurai is an epic adventure classic with an engrossing story, memorable characters, and stunning action sequences that make it one of the most influential films ever made.",Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Drama",357172,1954-04-26,Akira Kurosawa
17,tt0048198,2023-03-12,2023-03-12,Perhaps a bit too loose and leisurely to be entirely effective.,Ikimono no kiroku,https://www.imdb.com/title/tt0048198/,movie,7.3,103,1955,Drama,5330,1955-11-22,Akira Kurosawa
