ID,SCG Bibtex,Paper Year,Type,Type,# Pages,Title,First Author,Second Author,Third Author,Fourth Author,Fifth Author,Sixth Author,Seven Author,Eighth Author,Nineth Author,Tenth Author,Eleventh Author,Twelfth Author,# Authors,1,2,3,4,5,6,7,8,9,10,Year,Venue,Description,Location,Date
1,Saja03a,2003,Paper,Design Study,11,Program animation based on the roles of variables,"Sajaniemi, J.","Kuittinen, M.",,,,,,,,,,,2,3,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
2,Elmq03a,2003,Paper,Technique,11,Growing squares: animated visualization of causal relations,"Elmqvist, N.","Tsigas, P.",,,,,,,,,,,2,2,2,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
3,Marc03a,2003,Paper,Technique,11,3D representations for software visualization,"Marcus, A.","Feng, L.","Maletic, J.I.",,,,,,,,,,3,6,2,8,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
4,Wang03a,2003,Paper,Design Study,11,EVolve: an open extensible software visualization framework,"Wang, Q.","Wang, W.","Brown, R.","Driesen, K.","Dufour, B.","Hendren, L.","Verbrugge, C.",,,,,,7,1,1,1,1,1,1,1,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
5,Lint03a,2003,Paper,Commentary,11,Plugging-in visualization: experiences integrating a visualization tool with Eclipse,"Lintern, R.","Michaud, J.","Storey, M.-A.D.","Wu, X.",,,,,,,,,4,3,2,5,3,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
6,Reis03a,2003,Paper,Design Study,10,Visualizing Java in action,"Reiss, S.P.",,,,,,,,,,,,1,8,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
7,Orso03a,2003,Paper,Design Study,11,Visualization of program-execution data for deployed software,"Orso, A.","Jones, J.","Harrold, M.J.",,,,,,,,,,3,1,1,2,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
8,Coll03a,2003,Paper,Design Study,11,A system for graph-based visualization of the evolution of software,"Collberg, C.","Kobourov, S.","Nagra, J.","Pitts, J.","Wampler, K.",,,,,,,,5,1,1,1,1,1,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
9,Griss03a,2003,Paper,Commentary,8,Algorithm visualization in CS education: comparing levels of student engagement,"Grissom, S.","McNally, M.F.","Naps, T.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
10,Hubs03a,2003,Paper,Commentary,10,Dancing hamsters and marble statues: characterizing student visualizations of algorithms,"Hübscher-Younger, T.","Narayanan, N.H.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
11,Tudo03a,2003,Paper,Formalism,11,Designing effective program visualization tools for reducing user's cognitive effort,"Tudoreanu, M.E.",,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
12,Jaco03a,2003,Paper,Technique,8,Interactive visual debugging with UML,"Jacobs, T.","Musial, B.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
13,Ruth03a,2003,Paper,Evaluation,10,End-user software visualizations for fault localization,"Ruthruff, J.","Creswick, E.","Burnett, M.","Cook, C.","Prabhakararao, S.","Fisher,II, M.","Main, M.",,,,,,7,1,1,2,1,1,1,1,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
14,Mu03a,2003,Paper,Design Study,10,Interactive locality optimization on NUMA architectures,"Mu, T.","Tao, J.","Schulz, M.","McKee, S.A.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
15,Zhou03a,2003,Paper,Design Study,7,Graph visualization for the analysis of the structure and dynamics of extreme-scale supercomputers,"Zhou, C.","Summers, S.L.","Caudell, T.P.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
16,Gasn03a,2003,Paper,Technique,8,Visualizing software for telecommunication services,"Gansner, E.R.","Mocenigo, M.M.","North, S.C.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
17,Eich03a,2003,Paper,Formalism,10,Nice class diagrams admit good design?,"Eichelberger, H.",,,,,,,,,,,,1,6,0,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
18,Haus03a,2003,Paper,Formalism,10,Visualizing model mappings in UML,"Hausmann, J.H.","Kent, S.",,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003"
19,Gutw03a,2003,Paper,Formalism,10,A new approach for visualizing UML class diagrams,"Gutwenger, C.","Jünger, M.","Klein, K.","Kupke, J.","Leipert, S.","Mutzel, P.",,,,,,,6,1,1,1,1,1,1,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003 "
20,Eigl03a,2003,Paper,Technique,11, A topology-shape-metrics approach for the automatic layout of UML class diagrams,"Eiglsperger, M.","Kaufmann, M.","Siebenhaller, M.",,,,,,,,,,3,1,4,3,0,0,0,0,0,0,0,2003,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS'03,"San Diego, CA, USA","June 11 - 13, 2003 "
21,Balo05a,2005,Paper,Formalism,10,Algorithm visualization using concept keyboards,"Baloian, N.","Breuer, H.","Luther, W.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
22,Joha05a,2005,Paper,Formalism,10,Algorithm animation using shape analysis: visualising abstract executions,"Johannes, D.","Seidel, R.","Wilhelm, R.",,,,,,,,,,3,1,2,2,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
23,Ghon05a,2005,Paper,Commentary,10,Peeking in solver strategies using explanations visualization of dynamic graphs for constraint programming,"Ghoniem, M.","Cambazard, H.","Fekete, J.-D.","Jussien, N.",,,,,,,,,4,1,1,1,1,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
24,Burc05a,2005,Paper,Design Study,10,Visual data mining in software archives,"Burch, M.","Diehl, S.","Weissgerber, P.",,,,,,,,,,3,3,8,2,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
25,Voin05a,2005,Paper,Design Study,11,CVSscan: visualization of code evolution,"Voinea, L.","Telea, A.","van Wijk, J.J.",,,,,,,,,,3,9,15,4,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
26,Orei05a,2005,Paper,Design Study,10,The war room command console: shared visualizations for inclusive team coordination,"O'Reilly, C.","Bustard, D.","Morrow, P.",,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,2005,SOFTVIS,ACM Symposium on Software Visualization SOFTVIS 2005,"St. Louis, MO, USA","May 14 - 15, 2005"
