Ref.,ID,Title,First Author,Paper Year,Abstract,Name,Questions,Goal,Topic,Category,Task,Target,Audience,Representation,Medium,# Pages,Available,Java?,"PlataformWindows",Linux,Mac,Web,License,Source available,Framework,Target Technology,Venue
S1,338,Kayrebt: An Activity Diagram Extraction and Visualization Toolset Designed for the Linux Codebase,"Georget, L.",2015,"We present Extractor and Viewer, two tools from the Kayrebt toolset. The former is a plugin for the Gnu Compiler Collection (GCC) which builds pseudo-UML2 activity diagrams from C source code. It is specifically designed to handle the Linux kernel, a large and complex codebase. Use cases for this tool are numerous. The diagrams extracted from the C source code can be used to get a better insight of the control or data flow inside a program, or to evaluate the complexity of a function at a glance. Kayrebt::Viewer is a GUI designed for visualizing and navigating between the diagrams to explore source code.",Kayrebt,,to get a better insight of the control or data flow inside a program,Element relationship,"Control flow, Data flow",Reverse Engineering,Source Code,user,Stacked,Not identified,5,https://github.com/lgeorget/Kayrebt-Dumper,,N,Y,N,N,ARR,Y,"Extractor, Globsym, Viewer",C,VISSOFT
S2,346,XVIZIT: Visualizing Cognitive Units in Spreadsheets,"Hodnigg, K.",2015,"Spreadsheets can be large and complex and their maintenance and comprehension difficult to end-users. Large numbers of cells, complex formulae and missing documentation can impede the understanding of a spreadsheet. Comprehension assesses different levels of a spreadsheet according to a specific maintenance task, ranging from single formulae over sets of cells to complex structural patterns. These levels of abstraction are subsumed under the term cognitive unit. XVIZIT helps end-users in maintaining and comprehending spreadsheets. It guides them through a spreadsheet model: Roles of cells and sheets, similar patterns and various concepts of modularity can be explored. It uses modularization algorithms to provide conceptional decompositions of a spreadsheet model, such as equivalence classes or data modules. XVIZIT’s slice visualizations ease the evaluation of corrective modifications by showing the dependant cells. Furthermore, XVIZIT provides a number of complexity measures allowing end-users to estimate the effort to comprehend and maintain a spreadsheet.",XVIZIT,"are there modules orself-contained computations?",,ND,ND,Programming,Spreadsheet,user,Standard,Not identified,5,https://xvizit.wordpress.com/portfolio/metrics-based-spreadsheet-visualization/,,Y,N,N,N,Free,N,"Java FX, Control FX, GraphStream",Excel and Numbers spreadsheet,VISSOFT
S3,319,Vestige: A Visualization Framework for Engineering Geometry-Related Software,"Schneider, T.",2015,"Geometry-related software is increasingly important in computational science and visual computing. Engineering such software is particularly challenging due to the size and complexity of the data it operates on. In this paper we present VESTIGE, a framework that employs visualization to address that challenge. VESTIGE targets four software engineering activities: (1) visualization-guided development, (2) monitoring and bug detection, (3) test oracle generation, and (4) debugging. We present five scenarios from our real-life experience as developers of geometry-related software that show how VESTIGE helps to improve the software development process. Integrating VESTIGE into the development workflow takes little effort and can have significant benefits.",Vestige,how the computation reached that result?,,TE,TE,Debugging,Source Code,developer,Geometrically-Transformed,Not identified,10,,,,,,,-,-,C++ OpenGL,"Language idenpendent, but requires to implementa specific protocol to send polygon data in JSON format using sockets ",VISSOFT
S4,320,Hierarchical Software Landscape Visualization for System Comprehension: A Controlled Experiment,"Fittkau, F.",2015,"In many enterprises the number of deployed applications is constantly increasing. Those applications – often several hundreds – form large software landscapes. The comprehension of such landscapes is frequently impeded due to, for instance, architectural erosion, personnel turnover, or changing require- ments. Therefore, an efficient and effective way to comprehend such software landscapes is required. The current state of the art often visualizes software landscapes via flat graph-based representations of nodes, applications, and their communication.In our ExplorViz visualization, we introduce hierarchical ab- stractions aiming at solving typical system comprehension tasks fast and accurately for large software landscapes. To evaluate our hierarchical approach, we conduct a controlled experiment comparing our hierarchical landscape visualization to a flat, state-of-the-art visualization. In addition, we thoroughly analyze the strategies employed by the participants and provide a package containing all our experimental data to facilitate the verifiability, reproducibility, and further extensibility of our results.We observed a statistically significant increase of 14 % in task correctness of the hierarchical visualization group compared to the flat visualization group in our experiment. The time spent on the system comprehension tasks did not show any significant differences. The results backup our claim that our hierarchical concept enhances the current state of the art in landscape visualization.",ExploreViz,which applications are duplicated on multiple nodes?,,ND,ND,Software Process Management,Documentation,user,Geometrically-Transformed,Standard,10,,,,,,,-,-,-,-,VISSOFT
S5,322,Interactive Tag Cloud Visualization of Software Version Control Repositories,"Greene, G.J.",2015,"Version control repositories contain a wealth of implicit information that can be used to answer many questions about a project’s development process. However, this information is not directly accessible in the version control archives and must be extracted and visualized. This paper describes ConceptCloud, a flexible, interactive browser for SVN and Git repositories. The main novelty of our approach is the combination of an intuitive tag cloud visualization with an underlying concept lattice that provides a formal structure for navigation. ConceptCloud sup- ports concurrent navigation in multiple linked but individually customizable tag clouds, which allows for multi-faceted repository browsing and for the construction of unique visualizations. We describe the mathematical foundations and implementation of our approach, and use ConceptCloud to quickly gain insight into the team structure and development process of two projects.",ConceptCloud,which developers collaborate?,,Changes,History,Programming,CVS,user,Iconic,Not identified,10,http://www.conceptcloud.org,,,,,,-,N,-,"SVN, GIT",VISSOFT
S6,327,"Blended, Not Stirred: Multi-concern Visualization of Large Software Systems","Dal Sasso, T.",2015,"While constructing and evolving software systems, developers generate directly and indirectly a large amount of data of diverse nature, such as source code changes, bug tracking information, IDE interactions, stack traces, etc. Often these diverse data sources are processed and visualized in isolation, leading to a partial view of systems.We present a blended approach to visualize several data “ingredients” at once, to give as complete an answer as possible to the question “What happened to the system in the last few days?”. The goal is to enable a quick and comprehensive assessment of what happened to a software system in any given time frame.",Blended City,what happened to our system recently?,,Changes,History,Reverse engineering,Changes,developer,"Stacked, Iconic",Not identified,10,,,,,,,-,-,Roassal,Smalltalk,VISSOFT
S7,336,Pixel-Oriented Techniques for Visualizing Next-Generation HPC Systems,"Cottam, J.",2015,"Visualization schemas need to be enhanced to support next-generation high-performance computing (HPC) environments. New HPC runtimes perform more actions in a unit of time, but they also perform a wider variety of actions. Existing schemas are too simple to illustrate the variety of information that HPC developers need. However, existing schemas can be extended in simple ways to become more effective for next-generation HPC environments. This paper presents extensions to the common Vampir style plot that use high-definition alpha composition and color weaving. These two techniques incorporate new detail into the traditional plot style, providing useful information for HPC developers.",Vampir,how different are work queues on different threads?,,TE,TE,Programming,Documentation,HPX developer,Dense Pixel,Not identified,5,,,,,,,-,-,-,HPX C++,VISSOFT
S8,339,SMNLV: A Small-Multiples Node-Link Visualization Supporting Software Comprehension by Displaying Multiple Relationships in Software Structure,"Abuthawabeh, A.",2015,"Software engineering tasks like understanding of (legacy) software, checking guidelines, finding structure, or re-engineering of existing software require the analysis of the static software structure. The optimal visualization of this structure depends on the task at hand. In general, the software structure is mapped to a graph and graph drawing algorithms are used for displaying the structure. The task of drawing these graphs becomes more involved if not only one type of relations, e.g., call graphs, but many relation types should be analyzed at the same time. We propose a small-multiples node-link visualization, where each small visualization shows the graph related to one edge type. The visualizations are synchronized using selection and coordinated views. Using a separate view for each of the relations provides additional analysis capabilities. The main advantage of this approach is, that optimized drawing algorithms can be used for each type of relationship while being able to display multiple relationships at the same time.",SMNLV,,to check guidelines and re-engineering of existing software,Element relationship,"Contracts, Dependencies",Reverse Engineering,Source Code,user,Geometrically-Transformed,"full HD display, tiled display (Wall Display)",5,,,,,,,-,-,"Java 8, Graphisto Toolkit, abego TreeLayout, NetBeans Visual Library.",Java,VISSOFT
S9,341,Live Visualization of GUI Application Code Coverage with GUITracer,"Molnar, A.J.",2015,"The present paper introduces the initial implemen- tation of a software exploration tool targeting graphical user interface (GUI) driven applications. GUITracer facilitates the comprehension of GUI-driven applications by starting from their most conspicuous artefact - the user interface itself. The current implementation of the tool can be used with any Java-based target application that employs one of the AWT, Swing or SWT toolkits. The tool transparently instruments the target application and provides real time information about the GUI events fired. For each event, call relations within the application are displayed at method, class or package level, together with detailed cover- age information. The tool facilitates feature location, program comprehension as well as GUI test creation by revealing the link between the application’s GUI and its underlying code. As such, GUITracer is intended for software practitioners developing or maintaining GUI-driven applications. We believe our tool to be especially useful for entry-level practitioners as well as students seeking to understand complex GUI-driven software systems. The present paper details the rationale as well as the technical im- plementation of the tool. As a proof-of-concept implementation, we also discuss further development that can lead to our tool’s integration into a software development workflow.",GUITracer ,how the GUI and the underlying code are related?,,Elements,Location,Programming,Source Code,"practitioners, students",Standard,Not identified,5,https://bitbucket.org/guiresearch/tools,,,,,,Free,Y,Java 6,"Java using AWT, Swing or SWT",VISSOFT
S10,344,Advancing Data Race Investigation and Classification through Visualization,"Koutsopoulos, N.",2015,"Data races in multi-threaded programs are a com- mon source of serious software failures. Their undefined behavior may lead to intermittent failures with unforeseeable, and in embedded systems, even life-threatening consequences. To mitigate these risks, various detection tools have been created to help identify potential data races. However, these tools produce thousands of data race warnings, often in text-based format, which makes the manual assessment process slow and error-prone.Through visualization, we aim to speed up the data race assessment process by reducing the amount of information to be investigated, and to provide a versatile interface that quality assurance engineers can use to investigate data race warnings. The ultimate goal of our integrated software suite, called RaceView, is to improve the usability of the data race information to such an extent that the elimination of data races can be incorporated into the regular software development process.",RaceView,how a specific code location can be reached via function calls?,,Elements,Concurrency,Debugging,Runtime,quality assurance engineers,Stacked,Not identified,5,,,,,,,-,-,Eclipse Visualization Toolkit (Zest),C,VISSOFT
S11,304,Visual Clone Analysis with SolidSDD,"Voinea, L.",2014,"We present SolidSDD, an integrated tool for the extraction and visual analysis of code clones. SolidSDD aims to simplify and speed up the entire process of clone extraction from code bases written in C, C++, Java, and C#, and visual analysis of the extracted results. To this end, we combine several scalable visualization techniques such as hierarchical edge bundles, table lenses, annotated text views, and linked views. We demonstrate SolidSDD for both fine-grained clone analysis and aggregated report production tasks on several large-scale code bases.",SolidSDD,how are clones distributed in system structure?,,TE,TE,Maintenance,Source Code,developer,"Dense Pixel, Stacked",Not identified,4,http://www.solidsourceit.com/index.html,,Y,N,N,N,Comm.,N,"C++ , OpenGL","C, C++, Java, and C#",VISSOFT
S12,305,Polyptychon: A Hierarchically-Constrained Classified Dependencies Visualization,"Daniel, D.T.",2014,"Architects and developers are often tasked with evaluating or maintaining unfamiliar software systems. Reverse engineering tools help extract relationships between the system parts as they exist instead of as documented. Though node-link diagrams have a straightforward correspondence with the graph- representable data generated, the scale and complexity of real- world data sets prevent efficient comprehension.This paper presents Polyptychon, an interactive node-link visualization designed for incremental exploration of dependency information. Given a hierarchical information space of software artifacts, Polyptychon constrains the visible dependencies to be related to the child nodes of a specified artifact node, called a view root. It then classifies these siblings as levelized, tangled and independent. It also includes context nodes, which are a filtered set of nodes elsewhere in the hierarchy that are related to the siblings. The context nodes are further grouped based on a project-specific partition function.The hierarchical constraints and partition function provide means to control the number of nodes displayed, while the dependency classification allows users to form a qualitative impression of the dependency structure. We demonstrate with examples from the Netty open source project. We conclude with areas of future work, in particular, as a basis of evolutionary dependency analysis.",Polyptychon,how the system is actually organized?,,Elements,Dependencies,Reverse Engineering,Source Code,architects and developers,Geometrically-Transformed,Not identified,4,,,,,,,-,-,D3,Java,VISSOFT
S13,310,ChronoTwigger: A Visual Analytics Tool for Understanding Source and Test Co-evolution,"Ens, B.",2014,"Applying visual analytics to large software systems can help users comprehend the wealth of information produced by source repository mining. One concept of interest is the co-evolution of test code with source code, or how source and test files develop together over time. For example, understanding how the testing pace compares to the development pace can help test managers gauge the effectiveness of their testing strategy. A useful concept that has yet to be effectively incorporated into a co-evolution visualization is co-change. Co-change is a quantity that identifies correlations between software artifacts, and we propose using this to organize our visualization in order to enrich the analysis of co-evolution. In this paper, we create, implement, and study an interactive visual analytics tool that displays source and test file changes over time (co-evolution) while grouping files that change together (co-change). Our new technique improves the analyst’s ability to infer information about the software development process and its relationship to testing. We discuss the development of our system and the results of a small pilot study with three participants. Our findings show that our visualization can lead to inferences that are not easily made using other techniques alone.",ChronoTwigger,what test files changed compared to source files at the beginning of a project?,,TE,TE,Testing,CVS,test manager,Geometrically-Transformed,Immersive 3D environment,10,,,,,,,-,-,"OpenGL, GLUT, VR Juggler",GIT,VISSOFT
S14,311,Visualizing the Evolution of Systems and Their Library Dependencies,"Kula, R.G.",2014,"System maintainers face several challenges stem- ming from a system and its library dependencies evolving separately. Novice maintainers may lack the historical knowledge required to efficiently manage an inherited system. While some libraries are regularly updated, some systems keep a dependency on older versions. On the other hand, maintainers may be unaware that other systems have settled on a different version of a library. In this paper, we visualize how the dependency relation between a system and its dependencies evolves from two perspectives. Our system-centric dependency plots (SDP) visualize the successive library versions a system depends on over time. The radial layout and heat-map metaphor provide visual clues about the change in dependencies along the system’s release history. From this perspective, maintainers can navigate to a library-centric dependants diffusion plot (LDP). The LDP is a time-series visualization that shows the diffusion of users across the different versions of a library. We demonstrate on real-world systems how maintainers can benefit from our visualizations through four case scenarios.",-,how the dependency relation between a system and its dependencies evolves?,,Changes,Implications,Maintenance,Source Code,maintainer,"Geometrically-Transformed, Iconic",Not identified,10,,,,,,,-,-,-,Java,VISSOFT
